,,,,,,,,,,GENERATING STATION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Kanji,Jebba,Shiroro,Egbin,Sapele,Delta,Afam IV&V,Afam VI,Sapele NIPP,Geregu NIPP,Geregu Gas,Omotosho,Omotosho NIPP,Alaoji NIPP,Olorunsogo,Olorunsogo NIPP,Azura IPP,Okpai,Ihovbor,,,,
Decision Varaibles,,0,0,600,1014.191964,0,0,120,0,0,435,0,0,0,0,240,0,0,300,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
COST per MWh ($),,6.76E-05,7.90E-05,0.000113397,0.00010446,9.28E-05,0.000104032,0.00010773,6.84E-05,8.14E-05,0.000119077,9.72E-05,7.67E-05,8.95E-05,6.84E-05,0.00011692,9.83E-05,8.58E-05,0.000110774,6.42E-05,,Minimize Cost,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,<=,,0.3,,
Generation Limit,,327,351,600,1100,120,604,120,576,112,435,435,304,360,360,240,300,450,300,270,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,USED,,AVAILABLE
,,,,,,,,,,,,,,,,,,,,,,,,
Demand,,,,,,,,,,,,,,,,,,,,,,2709.191964,<=,8100
Transmission Capacity,,,,,,,,,,,,,,,,,,,,,,2709.191964,<=,19798
,,,,,,,,,,,,,,,,,,,,,,,,
Budget Limit,,,,,,,,,,,,,,,,,,,,,,,>=,0.3
,,,,,,,,,,,,,,,,,,,,,,,<=,0.6
